Vfamily	PROTISTS	PROKARYOTES	INVERTEBRATES	VERTEBRATES	PLANTS	FUNGI	VIROPHAGE
Artiviridae							
Retroviridae	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Streptococcaceae							
Steigviridae	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Iridoviridae	0.0	0.0	1.0	1.0	0.0	0.0	0.0
Nimaviridae	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Arenbergviridae							
Druskaviridae							
Pootjesviridae							
Hepadnaviridae	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Papillomaviridae	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Polydnaviriformidae	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Nairoviridae	0.0	0.0	1.0	1.0	0.0	0.0	0.0
Tombusviridae	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Vilmaviridae	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Orthoherpesviridae							
Aliceevansviridae							
Burtonviroviridae							
Orpheoviridae							
Phycodnaviridae	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Ackermannviridae	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Zierdtviridae	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Herelleviridae	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Ahmunviridae							
Allomimiviridae							
Caliciviridae	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Picornaviridae	0.0	0.0	1.0	1.0	0.0	0.0	0.0
Metaviridae	1.0	0.0	1.0	1.0	1.0	1.0	0.0
Adenoviridae	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Marnaviridae	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Mimiviridae	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Ascoviridae	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Cedratviridae							
Baculoviridae	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Alloherpesviridae	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Malacoherpesviridae	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Tobaniviridae	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Drexlerviridae	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Microviridae	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Schitoviridae	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Casjensviridae	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Autographiviridae	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Potyviridae	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Kyanoviridae	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Demerecviridae	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Parvoviridae	0.0	0.0	1.0	1.0	0.0	0.0	0.0
Bicaudaviridae	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Polyomaviridae	0.0	0.0	1.0	1.0	0.0	0.0	0.0
Closteroviridae	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Straboviridae	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Duneviridae	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Spinareoviridae	0.0	0.0	1.0	1.0	1.0	1.0	0.0
Geminiviridae	0.0	0.0	1.0	0.0	1.0	0.0	0.0
Circoviridae	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Marseilleviridae	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Flaviviridae	0.0	0.0	1.0	1.0	0.0	0.0	0.0
Tymoviridae	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Schizomimiviridae							
Intestiviridae	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Hytrosaviridae	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Stanwilliamsviridae							
Fiersviridae	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Peduoviridae	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Medioniviridae							
Asfarviridae	0.0	0.0	1.0	1.0	0.0	0.0	0.0
Mesyanzhinovviridae	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Guelinviridae	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Totiviridae	1.0	0.0	0.0	0.0	0.0	1.0	0.0
							
Coronaviridae	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Rhabdoviridae	0.0	0.0	1.0	1.0	1.0	0.0	0.0
Nudiviridae	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Anelloviridae	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Poxviridae	0.0	0.0	1.0	1.0	0.0	0.0	0.0
Caulimoviridae	0.0	0.0	1.0	0.0	1.0	0.0	0.0
Alphaflexiviridae	0.0	0.0	0.0	0.0	1.0	1.0	0.0
Steitzviridae	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Betaflexiviridae	0.0	0.0	0.0	0.0	1.0	1.0	0.0
Chuviridae	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Bromoviridae	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Peribunyaviridae	0.0	0.0	1.0	1.0	0.0	0.0	0.0
Solemoviridae	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Paramyxoviridae	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Lebotiviridae							
Mitoviridae	1.0	0.0	1.0	1.0	1.0	1.0	0.0
Cystoviridae	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Zobellviridae	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Matonaviridae	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Tulasviridae							
Chaseviridae	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Filamentoviridae							
Lipothrixviridae	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Geplanaviridae							
Ekchuahviridae							
Dicistroviridae	0.0	0.0	1.0	0.0	0.0	0.0	0.0
